symptoms,label
severe nausea and vomiting during pregnancy,Hyperemesis Gravidarum
painless chunk or swelling facial changes,Pleomorphic adenoma
peristalsis dehydration persistent hunger visible mass fussiness weight loss palpable,Pyloric stenosis
rapid or of pupils rate increased attack blood heart energy euphoria heart pressure high stroke risk dilated,Drug Abuse (Cocaine)
eye eye blurred redness pain severe vision,Scleritis
depends on the specific cranial nerve involved symptoms can include vision changes eye movement abnormalities facial weakness or paralysis difficulty swallowing or speaking loss of sensation in the face or other surface area,Cranial Nerve Palsy
in changes breast pain lump size nipple breast or shape changes breast,Breast Cancer
eye pain swelling redness vision changes,Orbital Cellulitis
increased energy and alertness decrease appetite rapid heartbeat,Drug Abuse (Methamphetamine)
swollen salivary glands usually parotid fever headache fatigue,Mumps
worse at night pain swelling deformity limited mobility or difficulty moving the arm bruising,Fracture of the Arm
or or exertion fainting episodes lightheadedness activity during breath near heart rapid dizziness discomfort swelling fatigue chest of or pain feet palpitations ankles in or legs or fainting especially shortness irregular or physical the heartbeat,Hypertrophic Obstructive Cardiomyopathy (HOCM)
fatigue swollen and bleeding gums joint pain,Scurvy
joint pain swelling tenderness limited range of gesture,Bursitis
severe swelling of the floor of the back talk fever difficulty swallowing drooling,Ludwig's angina
persistent pain in shoulders and neck tension head,Chronic Headache
redness jut discharge foul odor around the umbilical area,Omphalitis
foot pain or achiness difficulty with foot and ankle movement hoof it fatigue swelling,Flat Feet
joint pain fatigue skin rashes worse at night,Lupus
eye infliction blurred vision sensitivity to light,Chorioretinitis
joint pain stiffness swelling,Osteoarthritis
elevated intraocular pressure without optic nerve damage,Ocular Hypertension
gradual loss of vision visual field defects,Normal-Tension Glaucoma
eye pain swelling redness vision changes,Orbital Cellulitis
high fever body aches fatigue cough sensitive throat congestion,Influenza (Flu)
mood swings bloating breast tenderness irritability no fever,Premenstrual Tension Syndrome
abdominal ail nausea vomiting bloating constipation bloody stool,Volvulus
pain during bowel bowel movement rectal bleeding,Anal Fissure
red swollen itchy bumps,Insect Bites
severe neck pain swelling tenderness difficulty moving or turning the head numbness or weakness in the arms or legs,Fracture of the Neck
fatigue pale skin frequent infections easy bleeding or spite,Leukemia
rough scaly patches on the skin usually in sun exposed areas,Actinic Keratosis
or cough with chest congestion green fatigue yellow persistent mucus,Bronchitis
itching and irritation in the vagina and vulva redness and swelling of the vulva white thick clumpy vaginal discharge resembling cottage cheese burning sensation during urination pain during sexual intercourse rash or soreness in the affected area,Vaginal Yeast Infection
mild painless lump or swelling facial changes,Pleomorphic adenoma
blurred vision halos around lights eye pain worse at night,Pigmentary Glaucoma
pale fatigue weakness skin,Anemia due to Chronic Kidney Disease
vaginal dryness vaginal burning shop at urination urinary tract infections painful intercourse,Atrophic vaginitis
perennial episodes of binge eating without compensatory behaviors,Binge Eating Disorder
most colonic polyps do not cause symptoms some larger polyps or certain types may cause rectal bleeding or changes in bowel habits such as diarrhea or constipation,Colonic Polyp
floaters in vision blurry visual sensation eye pain,Vitreous Hemorrhage
frequent urination increased thirst weight loss severe,Type 1 Diabetes
breast lump changes in breast size or shape nipple changes breast pain since this morning,Breast Cancer
itchy red efflorescence caused by contact with irritants or allergens,Contact Dermatitis
cravings for alcohol inability to control or limit alcohol consumption withdrawal symptoms such as tremors anxiety sweating when attempting to stop or reduce alcohol use continued use despite negative consequences such as relationship problems health issues neglecting responsibilities tolerance to alcohol,Alcohol Use Disorder
persistent cough with thick mucus recurrent lung infections poor growth or weight gain salty tasting skin improved with rest,Cystic Fibrosis
shortness of breathing space cough wheezing fatigue chest discomfort or tightness,Pulmonary Congestion
severe headaches nausea sensitivity to light and sound,Migraine
worse at night excessive hair growth in women,Hirsutism
swelling in arms or branch feeling of heaviness or tightness,Lymphedema
in changes blood difficulty in abdominal pain movements swelling bowel urine tenderness or vomiting stool breathing nausea bruising,Abdominal Injury
ear the from mastoid fever behind in redness drainage or irritability area impaired pain and or or children the when particularly the behind earache the ear ear of or or young the hearing ear infants pus area loss hearing swelling of pain tenderness the protrusion swelling and ear touching bone fluid headache,Mastoiditis
floaters in visual sensation blurry vision eye pain,Vitreous Hemorrhage
irregular periods excessive hair growth acne weight gain ovarian cysts fever present,Polycystic Ovarian Syndrome
fever fatigue body aches heart and digestive problems,Chagas Disease
hoarseness vocal changes vocal fag,Vocal cord polyp
pain breath the organs fatigue joint fever symptoms depending various on affected inflammation of vessels weight and of shortness blood loss to muscle leading including rash,Vasculitis
swelling severe pain inability to bear burthen,Dislocation of the Ankle
scaly itching skin on patches red the,Psoriasis
light and headaches nausea sensitivity to sound severe,Migraine
localized muscle pain trigger full point,Myofascial Pain Syndrome
vaginal dryness vaginal burning frequent urination urinary tract infections painful intercourse for a few days,Atrophic vaginitis
worse during exertion chest pain difficulty breathing tenderness or swelling over the ribcage,Fracture of the Rib
irregular or rapid heartbeat palpitations shortness of breath chest pain or discomfort dizziness or lightheadedness fatigue for a few days,Atrial Fibrillation
ear pain fever fluid drainage from the ear hearing loss or muffled hearing in the affected ear worse during exertion,Acute Otitis Media
redness pain tenderness swelling skin changes lymph node enlargement worse during exertion,Cellulitis
impuissance numbness tingling in limbs,Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)
worse at night small lump or swelling in the vaginal wall discomfort or pain during intercourse,Vaginal Cyst
chronic impairment abdominal distension failure to pass meconium in newborns,Hirschsprung Disease
swelling tenderness bleeding heartbeat stabbing pelvic severe one nausea pain spotting sharp intercourse abdominal and rapid on sudden or or side abnormal bloating vomiting or pain during pain abdominal fever,Ovarian Torsion
thickening of the skin raynaud s phenomenon worse in morning,Scleroderma
lower back pain leg pain numbness or tingling,Sciatica
headaches light severe and to sensitivity nausea sound,Migraine
persistent depressive symptoms low mood lack of interest changes in sleep and appetite lasting for at least two years,Dysthymic Disorder
moderate itchy red inflamed skin rash,Eczema
elevated levels of gamma globulins in the blood may be asymptomatic or associated with other underlying conditions no fever,Hypergammaglobulinemia
shortness of breath cough wheeze fatigue chest discomfort or tightness,Pulmonary Congestion
itchy skin particularly on the hands and feet,Gestational Cholestasis
prove itchy welts on the skin,Urticaria (Hives)
painful lump or swelling on the eyelid redness tenderness no fever,Cyst of the Eyelid
fatigue shortness of breath nitty gritty palpitations,Mitral Valve Disease
enlarged puff up veins often in the legs,Varicose Veins
sedation relaxation reduced anxiety drowsiness poor coordination memory impairment withdrawal symptoms such as rebound anxiety insomnia tremors when attempting to stop or reduce use continued use despite negative consequences such as relationship problems health risks,"Sedative, Hypnotic, or Anxiolytic Use Disorder"
nausea vomiting abdominal jaundice fatigue pain,Hepatitis due to a Toxin
excessive sweating beyond what is necessary for temperature regulation typically in specific areas such as palms soles underarms may interfere with daily activities,Hyperhidrosis
pain fatigue shortness pressure high blood breath discomfort chest or of,Hypertensive Heart Disease
bone kidney weakness pain stones fatigue frequent urination,Parathyroid Adenoma
mood swings bloating breast tenderness irritability worse in morning,Premenstrual Tension Syndrome
features set distinct intellectual jaw delays small disability heart low defects developmental facial ears,Edward Syndrome
severe extreme weight loss fear of gaining weight distorted body image,Anorexia Nervosa
rash headache swollen nodes fatigue fever lymph,Cat Scratch Disease
redness changes vision swelling pain eye,Orbital Cellulitis
headaches vision problems such as blurred vision or loss of peripheral vision hormonal imbalances such as excessive production or deficiency of specific hormones fatigue weight gain or loss menstrual irregularities infertility erectile dysfunction growth abnormalities in children mood changes cognitive impairments,Pituitary Adenoma
lower back pain discomfort in the pelvic country,Pregnancy-Related Back Pain
abdominal ail bloating heartburn nausea acidic taste,Indigestion
cram pain fractures fatigue unexplained weight loss,Bone Cancer
altered perception of reality visual or auditory hallucinations changes in sensory experiences introspective thoughts feelings of connection or disconnection anxiety or paranoia in some individuals flashbacks in some individuals since this morning,Hallucinogen Use Disorder
eye pain inflammation swelling blurred vision decreased vision floaters dark spots or cobwebs in the vision increased sensitivity to light photophobia discharge from the eye excessive tearing fever,Endophthalmitis
excessively concentrated urine low blood sodium levels intermittent,Syndrome of Inappropriate Secretion of ADH (SIADH)
since this morning mild to moderate head pain tightness or pressure sensation on both sides of head,Tension Headache
extreme weight loss fear of gaining weight distorted body image worse during exertion,Anorexia Nervosa
worse at night dizziness low blood pressure slow heart rate nausea vomiting,Antihypertensives Poisoning
and vomiting fever high severe tendencies nausea rash or joint headache bleeding muscle pain,Dengue Fever
eye redness pain or discomfort blurred or decreased visual modality increased sensitivity to light,Cornea Infection
severe progressive muscle weakness and degeneration difficulty walking or moving muscle wasting,Muscular Dystrophy
weight diarrhea chronic deficiencies nutrient or vitamins loss to fatigue pain bloating abdominal minerals failure thrive,Intestinal Malabsorption
ear pain fever fluid drainage from the ear hearing loss or muffled hearing in the affected ear,Acute Otitis Media
worry confusion dizziness nausea or vomiting seizures weakness or numbness,Subdural hemorrhage
fatigue jaundice abdominal swelling ascites easy bruising and bleeding confusion loss of appetite weight loss fever present,Cirrhosis
knee pain excrescence inability to straighten the leg,Dislocation of the Patella
swollen itchy or painful veins in the rectal area no medication taken,Hemorrhoids
excessively concentrated urine low blood sodium levels,Syndrome of Inappropriate Secretion of ADH (SIADH)
altered perception of reality visual or auditory hallucinations changes in sensory experiences introspective thoughts feelings of connection or disconnection anxiety or paranoia in some individuals flashbacks in some individuals fever present,Hallucinogen Use Disorder
high blood pressure proteinuria swelling headaches visual disturbances mild,Preeclampsia
skin rash itching peeling redness,Fungal Infection of the Skin
since this morning lack of menstrual periods,Idiopathic Absence of Menstruation
vaginal xerotes vaginal burning frequent urination urinary tract infections painful intercourse,Atrophic vaginitis
joint pain swelling tenderness limited range of motion severe,Bursitis
rough scaly patches on the skin usually in sun exposed areas worse at night,Actinic Keratosis
loss hoarseness pain weight difficulty unintentional chest swallowing,Esophageal Cancer
chronic diarrhea weight loss abdominal pain or bloating nutrient deficiencies vitamins minerals fatigue failure to thrive intermittent,Intestinal Malabsorption
fatigue jaundice abdominal pain nausea vomiting since this morning,Hepatitis due to a Toxin
bone pain fractures fatigue unexplained weight loss,Bone Cancer
surgical site pain discomfort swelling,Pain after an Operation
headache confusion dizziness nausea or vomiting raptus weakness or numbness,Subdural hemorrhage
gradual loss of vision visual field defects,Normal-Tension Glaucoma
shortness of breath cough wheezing fatigue chest discomfort or tightness improved with rest,Pulmonary Congestion
red raw or inflamed sputter in skin folds such as armpits or groin itching or burning sensation,Intertrigo
ear pain particularly behind the ear swelling and redness of the ear or the area behind the ear fever headache hearing loss or impaired hearing drainage of fluid or pus from the ear earache irritability in infants and young children tenderness or pain when touching the area mastoid bone protrusion or swelling,Mastoiditis
persistent pain or discomfort in the vulva burning stinging rawness itching,Vulvodynia
motion tenderness swelling of pain range limited joint,Bursitis
fatigue weight gain constipation dry skin depression muscle aches and stiffness sensitivity to coldness,Hashimoto Thyroiditis
abnormal vaginal bleeding outside of the menstrual period unpredictable bleeding episodes bleeding after sexual intercourse bleeding after menopause spotting or light bleeding between periods prolonged or heavy bleeding,Idiopathic Nonmenstrual Bleeding
constant persistent sore throat difficulty swallowing voice changes ear pain neck mass weight loss,Head and Neck Cancer
intense joint pain swelling redness,Gout
persistent hunger weight loss dehydration seeable peristalsis palpable mass fussiness,Pyloric stenosis
of shortness fatigue breath dry cough,Pulmonary Fibrosis
symptoms that do not meet the full criteria for a specific eating disorder intermittent,Other Specified Feeding or Eating Disorder (OSFED)
flu like symptoms fever headache fatigue anxiety confusion hallucinations difficulty swallowing severe,Rabies
stools dark retrograde abdominal with ercp the jaundice stone often right pale cholangiopancreatography pain endoscopic removal sphincterotomy upper in cholecystectomy quadrant urine vomiting nausea,Choledocholithiasis
extreme weight loss fear of gaining weight distorted body image,Anorexia Nervosa
joint pain fatigue skin rashes noticed after exercise,Lupus
high blood pressure without proteinuria preeclampsia,Gestational Hypertension
abdominal or flank pain blood in urine frequent urination,Benign Kidney Cyst
tinnitus the gradual problems dizziness ringing and progressive loss balance ears hearing in or,Otosclerosis
high blood line pressure increased need to urinate swelling in the legs and ankles fatigue nausea loss of appetite,Diabetic Kidney Disease
swollen blood vessels in the esophagus vomiting blood ignominious tarry stools,Esophageal Varices
vaginal dryness vaginal burning frequent urination urinary tract infections painful intercourse,Atrophic vaginitis
frequent urinary tract infections urinary urgency or frequency bedwetting in children high blood pressure in severe cases,Vesicoureteral Reflux
severe eye pain blurred vision halos around lights,Acute Glaucoma
worse at night muscle twitches or cramps fatigue weakness loss of appetite nausea vomiting irritability mental confusion irregular heartbeat tingling or numbness personality changes seizures,Magnesium Deficiency
worse during exertion enlarged swollen veins often in the legs,Varicose Veins
difficulty swallowing paralysis facial facial lump when speaking and swelling weakness pain,Mucoepidermoid carcinoma
bleeding frequent or heavy prolonged cuts prolonged in or easy bruising stool urine from menstrual periods bleeding or gums or nosebleeds blood injuries or excessive excessive,Von Willebrand Disease
most colonic polyps do not cause symptoms some larger polyps or certain types may cause rectal bleeding or changes in bowel habits such as diarrhea or constipation mild,Colonic Polyp
muscle weakness loss of sensation chronic pain worse during exertion,Syringomyelia
swelling in arms or legs notion of heaviness or tightness,Lymphedema
severe upper abdominal pain nausea vomiting fever rapid pulse swollen and tender abdomen jaundice fever present,Acute Pancreatitis
discomfort site swelling surgical pain,Pain after an Operation
shortness of breath especially during physical activity or exertion chest pain or discomfort dizziness or lightheadedness fainting or near fainting episodes heart palpitations rapid or irregular heartbeat fatigue swelling in the ankles infantry or legs,Hypertrophic Obstructive Cardiomyopathy (HOCM)
swelling pain dry talk bad taste,Submandibular stones
sudden and severe abdominal or pelvic pain on one side sharp or stabbing pain nausea vomiting fever rapid heartbeat abdominal tenderness bloating swelling pain during intercourse abnormal bleeding or spotting intermittent,Ovarian Torsion
gradual of field vision loss defects visual,Normal-Tension Glaucoma
hypocalcaemia low calcium levels tetany muscle spasms short stature rounded face,Pseudohypoparathyroidism
facial pain or pressure nasal congestion thick nasal discharge post nasal drip cough headache fatigue fever in some cases no fever,Acute Sinusitis
knee painfulness swelling inability to straighten the leg,Dislocation of the Patella
moderate rash itching swelling difficulty breathing gastrointestinal symptoms,Food Allergy
lower back pain leg pain numbness or titillating,Sciatica
persistent consumption of non food substances,Pica
moderate redness swelling discharge from the wound,Open Wound from Surgical Incision
mild to moderate head pain tightness or pressure sensation on both sides of head constant,Tension Headache
moderate hair loss or balding patchy or generalized hair loss,Alopecia
pain or tenderness on the outer side of the elbow weak grip strength difficulty with forearm movements worse at night,Lateral Epicondylitis (Tennis Elbow)
breast lump changes in breast size or bod nipple changes breast pain,Breast Cancer
joint pain fatigue skin skin rash,Lupus
dizziness ear loss or ear drainage vertigo pain hearing tinnitus,Cholesteatoma
moderate itchy skin particularly on the hands and feet,Gestational Cholestasis
ear pain hearing red ink recurrent ear infections,Chronic Otitis Media
muscle weakness fatigue trouble speaking,Myasthenia Gravis
muscle stiffness tremors nonvoluntary movements,Extrapyramidal Effect of Drugs
persistent feelings of sadness emptiness or hopelessness frequent crying irritability loss of interest or pleasure in activities difficulty bonding with the baby changes in appetite or sleep patterns overwhelming fatigue feelings of guilt or worthlessness trouble concentrating or making decisions thoughts of self harm or harming the baby,Postpartum Depression
headache nausea vomiting cognitive or developmental problems enlarged head in infants no medication taken,Hydrocephalus
difficultness swallowing,Achalasia
abdominal pain bloating modification in bowel movements,Diverticulosis
rash itching redness peeling skin severe,Fungal Infection of the Skin
difficulty or poor urinary stream urinary tract infections urinary frequency or urgency abdominal distension poor weight gain,Urethral Valves
swelling pain redness febricity pus formation,Abscess
bloating of appetite vomiting heart tenderness severe nausea loss fever rate abdominal increased pain,Peritonitis
24 symptoms hours that of sudden within neurological onset resolve,Transient ischemic attack
uncomfortable sensation in the legs usually in the evening or at night urge to move legs for relief since this morning,Restless Leg Syndrome
episodes breath especially fainting physical or dizziness or pain or ankles shortness fainting during activity swelling of or heart discomfort legs rapid chest the irregular heartbeat fatigue lightheadedness in feet or or palpitations exertion near,Hypertrophic Obstructive Cardiomyopathy (HOCM)
growth deficiencies facial abnormalities developmental delays intellectual disability moderate,Fetal Alcohol Syndrome
headache fever confusion seizures neurological symptoms fever present,Encephalitis
moderate gait disturbances urinary incontinence cognitive decline or dementia like symptoms,Normal Pressure Hydrocephalus
eye pain redness swelling blurred vision decreased vision floaters dark spots or cobwebs in the vision increased sensitivity to light photophobia discharge from the eye excessive tearing fever,Endophthalmitis
localized muscle pain trigger points worse during exertion,Myofascial Pain Syndrome
back unexplained abdominal imbalances hormonal or pain loss weight,Adrenal Cancer
shooting or burning pain tingling or numbness,Neuropathic Pain
excessively concentrated urine low blood sodium levels,Syndrome of Inappropriate Secretion of ADH (SIADH)
fatigue weakness weight loss low blood pressure abdominal pain,Glucocorticoid Deficiency
floaters spots or cobweb like shapes in vision ostentation of light curtain like shadow over vision sudden vision loss,Retinal Detachment
moderate fatigue abdominal pain or swelling jaundice neurological symptoms tremors difficulty speaking or walking,Wilson Disease
painful red lump or swelling on the eyelid usually on the upper eyelid sensitivity to light blurred vision if the chalazion affects the line of sight mild discomfort tenderness localized inflammation and swelling,Chalazion
of arms or or in legs swelling heaviness tightness feeling,Lymphedema
weight extreme gaining of body loss image fear distorted weight,Anorexia Nervosa
persistent feelings of sadness emptiness or hopelessness frequent crying surliness loss of interest or pleasure in activities difficulty bonding with the baby changes in appetite or sleep patterns overwhelming fatigue feelings of guilt or worthlessness trouble concentrating or making decisions thoughts of self harm or harming the baby,Postpartum Depression
or repetitive interests restricted social challenges difficulties with communication behaviors interaction,Autism
intermittent swollen blood vessels in the esophagus vomiting blood black tarry stools,Esophageal Varices
moderate inattention hyperactivity impulsivity,Attention Deficit Hyperactivity Disorder (ADHD)
joint swelling pain warmth limited range of motion intermittent,Hemarthrosis
palpitations sweating trembling shortness of breath fear of losing control dizziness noticed after exercise,Panic disorder
chest pain swelling and tenderness of the cartilage connecting the ribs to the breastbone,Tietze Syndrome
lower abdominal pain and discomfort occurring around the time of ovulation fever present,Mittelschmerz
recurrent episodes of binge deplete followed by purging behaviors,Bulimia Nervosa
chest pain difficulty take a breather tenderness or swelling over the ribcage,Fracture of the Rib
headache confusion dizziness nausea or vomiting seizures weakness or numbness fever present,Subdural hemorrhage
shoulder pain weakness or loss of strength limited range of motion shoulder stiffness since this morning,Rotator Cuff Injury
vertigo dizziness nausea hearing loss ear pain intermittent,Labyrinthitis
rash itching swelling difficulty breathing gastrointestinal symptoms intermittent,Food Allergy
breaths sharp with lying fever stabbing or deep worsens chest pain and down,Pericarditis
abdominal or back pain unexplained weight loss hormonal imbalances,Adrenal Cancer
headache fever fatigue cough meningitis pneumonia,Cryptococcosis
severe swelling of the flooring of the mouth fever difficulty swallowing drooling,Ludwig's angina
severe headache sickness or vomiting changes in vision loss of consciousness seizures,Intracranial Hemorrhage
hoarseness vocal modification vocal fatigue,Vocal cord polyp
loss hearing or birth vision rash disability liver problems spleen developmental defects enlargement at intellectual delays heart,Congenital rubella
inflammation of the glans penis tip of the penis redness swelling pain,Balanitis
since this morning fatigue weight changes mood swings dry skin,Thyroid Disease
light loss in like shapes of over floaters cobweb spots curtain vision flashes or shadow vision sudden vision like,Retinal Detachment
the glans the tip redness penis inflammation of penis swelling of pain,Balanitis
sedation relaxation reduced anxiety drowsiness wretched coordination memory impairment withdrawal symptoms such as rebound anxiety insomnia tremors when attempting to stop or reduce benzodiazepine use continued use despite negative consequences such as relationship problems health risks,Benzodiazepine Use Disorder
fatigue weight changes mood swings dry skin,Thyroid Disease
persistent cough with yellow or green mucus chest congestion fatigue,Bronchitis
constant recurrent episodes of binge eating followed by purging behaviors,Bulimia Nervosa
muscle wasting fatigue weakness delayed wound healing swelling of the limbs hair loss impaired immunity,Protein Deficiency
facial pain or pressure nasal congestion thick nasal discharge post nasal drip cough headache fatigue fever in some cases,Acute Sinusitis
fatigue weakness weight deprivation low blood pressure abdominal pain,Glucocorticoid Deficiency
easy or excessive bruising prolonged or excessive bleeding from cuts or injuries frequent nosebleeds heavy or prolonged menstrual periods bleeding gums blood in urine or stool moderate,Von Willebrand Disease
fatigue abdominal swelling or pain enlarged liver elevated liver enzymes insulin resistance,Nonalcoholic Liver Disease (NASH)
heel pain tenderness difficulty walking severe,Plantar Fasciitis
decreased urine output swelling in the legs and ankles and signs of fluid overload severe kidney damage worse in morning,Ethylene glycol poisoning-3
various symptom depending on the specific disorder including hormonal imbalances,Pituitary Disorder
worse at night slurred speech impaired coordination confusion,Alcohol Intoxication
pain hearing ear loss or vertigo tinnitus ear drainage dizziness,Cholesteatoma
severe increased energy and alertness decreased appetite rapid heartbeat,Drug Abuse (Methamphetamine)
joint pain stiffness swelling fatigue loss of appetite,Rheumatoid Arthritis
toothache tooth sensitivity visible pits or holes in the teeth dark spots on the teeth bad breath,Dental Caries
raised itchy welts on the skin moderate,Urticaria (Hives)
worse at night nausea vomiting early satiety bloating abdominal pain poor appetite,Gastroparesis
metabolous acidosis apid breathing rapid heart rate confusion headache dizziness seizures,Ethylene glycol poisoning-2
high levels of cholesterol in the blood fatty deposits xanthomas on the skin or tendons chest pain or angina heart attacks strokes,Hypercholesterolemia
cough with phlegm or pus chest painfulness fever shortness of breath fatigue,Abscess of the Lung
heavy or prolonged menstrual periods pelvic pain or pressure sensation frequent urination difficulty emptying the bladder constipation backache leg pain enlarged abdomen or uterus infertility or recurrent miscarriages in some cases,Uterine Fibroids
headache nausea confusion dizziness,Carbon Monoxide Poisoning
severe blurred or hazy vision eye pain or discomfort redness or irritation of the eye excessive tearing sensitivity to light photophobia foreign body sensation dryness or excessive tearing corneal abrasions or ulcers distorted or irregular corneal shape vision loss,Corneal Disorder
lower back pain in the ass discomfort in the pelvic area,Pregnancy-Related Back Pain
drowsiness confusion slowed breathing,Sedatives Poisoning
headache fever fatigue cough meningitis pneumonia,Cryptococcosis
excessively concentrated water low blood sodium levels,Syndrome of Inappropriate Secretion of ADH (SIADH)
of movement slowness tremors stiffness,Parkinson Disease
persistent sore throat difficulty swallowing voice changes ear pain neck mass weight loss worse at night,Head and Neck Cancer
flank pain urinary frequency bump in the abdomen,Hydronephrosis
mood swings bloating chest tenderness irritability,Premenstrual Tension Syndrome
headache dizziness nausea confusion for a few days,Carbon Monoxide Poisoning
easy wound prolonged bleeding after injury or surgery excessive bleeding from minor cuts or abrasions frequent nosebleeds heavy menstrual bleeding,Coagulation (Bleeding) Disorder
rough scaly patches on the pare usually in sun exposed areas,Actinic Keratosis
nausea vomiting diarrhea neurologic symptoms,Antimicrobial Drugs Poisoning
spartan swelling of the floor of the mouth fever difficulty swallowing drooling,Ludwig's angina
heavy or prolonged menstrual periods pelvic pain or pressure frequent urination difficulty emptying the bladder constipation backache leg pain enlarged abdomen or uterus infertility or recurrent miscarriages in some cases noticed after exercise,Uterine Fibroids
severe persistent consumption of non food substances,Pica
painful ulcers or sores on the genital area swollen lymph nodes in the groin noticed after exercise,Chancroid
the joint jaw jaw popping or the chewing sounds tenderness or clicking or in opening difficulty pain mouth,Temporomandibular Joint Disorder
lack of catamenial periods,Idiopathic Absence of Menstruation
for a few days blurred or distorted vision eye strain headaches uneven curvature of cornea,Astigmatism
inflammation of the glans penis tip of the penis redness swelling pain,Balanitis
knee pain swelling inability to straighten the leg,Dislocation of the Patella
pregnancy blood during high pressure,Pregnancy-Induced Hypertension
sedation relaxation reduced anxiety drowsiness poor coordination memory impairment withdrawal symptoms such as rebound anxiety insomnia tremors when attempting to stop or reduce use continued use despite negative consequences such as relationship problems health risks worse in morning,"Sedative, Hypnotic, or Anxiolytic Use Disorder"
and skin pale eyes urine of yellowing stools dark the,Neonatal Jaundice
high blood pressure increased need to urinate swelling in the legs and ankles fatigue nausea loss of appetite,Diabetic Kidney Disease
distension in to abdominal failure meconium newborns constipation chronic pass,Hirschsprung Disease
recurrent episodes of wheezing shortness of breath thorax tightness coughing especially at night or in response to triggers such as allergens or exercise,Asthma
swollen stock vessels in the esophagus vomiting blood black tarry stools,Esophageal Varices
intermittent severe abdominal or back pain blood in urine frequent urination pain during urination,Urinary Stones (Kidney Stones)
skin and the particularly hands feet on itchy,Gestational Cholestasis
of in connection paranoia introspective some disconnection or reality changes sensory experiences of anxiety in hallucinations or individuals feelings individuals some flashbacks altered perception in auditory or thoughts visual,Hallucinogen Use Disorder
hoarseness vocal music changes vocal fatigue,Vocal cord polyp
tremors stiffness slowness of movement,Parkinson Disease
lack of catamenial periods,Idiopathic Absence of Menstruation
high blood pressure increased need to urinate swelling in the legs and ankles fatigue nausea loss of appetite,Diabetic Kidney Disease
hyperactivity impulsivity inattention,Attention Deficit Hyperactivity Disorder (ADHD)
pain or discomfort in the tailbone area swelling redness drainage of pus or blood abscess formation,Pilonidal Cyst
challenges with social interaction communication difficulties restricted interests or repetitive behaviors,Autism
fatigue sore throat swollen lymph nodes mild,Mononucleosis
sensation of a foreign object stuck in the throat difficulty swallowing or speaking moderate,Foreign Body in the Throat
tumefy pain dry mouth bad taste,Wharton's duct stones
jaw pain or tenderness clicking or popping sounds in the jaw joint difficulty chewing or opening the mouth improved with rest,Temporomandibular Joint Disorder
or shortness discomfort or palpitations of or heart swollen lightheadedness fainting pain ankles fatigue chest legs breath,Pulmonic Valve Disease
severe abdominal pain bloody stools diarrhea nausea vomiting fever rapid heart rate low blood pressure worse during exertion,Ischemia of the Bowel
mood swings manic episodes depressive episodes no medication taken,Bipolar Disorder
pain swelling bruising deformity difficulty moving loss of function for a few days,Fracture
abdominal pain bleeding organ dysfunction,Injury to Internal Organ
appetite and weight eyes abdominal the of fatigue of jaundice nausea unexplained loss yellowing skin pain vomiting loss,Liver Cancer
inability to conceive after one year of unprotected intercourse irregular or absent menstrual cycles hormonal imbalances age related factors former,Female Infertility of Unknown Cause
blurred or distorted vision eye strain headaches uneven curvature of cornea,Astigmatism
vessels the on organs including affected rash shortness inflammation leading of and fatigue symptoms blood of to breath weight loss fever various depending pain joint muscle,Vasculitis
swelling to pain bear inability severe weight,Dislocation of the Ankle
parotid glands salivary fatigue usually headache fever swollen,Mumps
worse at night headache fever neurological deficits,Intracranial Abscess
mild unintentional urine leakage during physical activity,Stress Incontinence
pelvic pain during menstruation intercourse or bowel movements heavy menstrual bleeding infertility mild,Endometriosis
fever chest pain productive cough with foul smelling or bloody sputum,Empyema
abominable urination abnormal discharge from the genitals pelvic pain,Gonorrhea
swollen throat stage infection skin tertiary of at complications fever affecting other stage stage the sore secondary sores latent no symptoms painless organs severe and rash chancre the site brain nodes lymph heart primary stage,Syphilis
chronic stultification abdominal distension failure to pass meconium in newborns,Hirschsprung Disease
reduced hearing sensitivity muffled or blocked sound,Conductive Hearing Loss
sunburn like rash redness itching,Dermatitis due to Sun Exposure
confusion forgetfulness personality changes tremors,Hepatic Encephalopathy
fatigue pale skin frequent infections shortness of breath speedy or irregular heartbeats prolonged bleeding or bruising,Aplastic Anemia
dry mouth and eyes fatigue joint pain dry skin noticed after exercise,Sjögren's syndrome
abdominal pain jaundice yellowing of the skin and eyes unexplained weight loss loss of appetite fatigue nausea vomiting worse during exertion,Liver Cancer
fatigue abdominal pain or swelling jaundice neurological symptoms tremors difficulty speaking or walking,Wilson Disease
constant fatigue weakness bone pain frequent urination kidney stones,Parathyroid Adenoma
swelling pain dry mouth bad taste,Submandibular stones
swelling pain dry mouth bad taste constant,Parotid stones
tingling indifference and pain in the hand and fingers,Carpal Tunnel Syndrome
severe eye pain headache blurred imagination halos around lights nausea and vomiting,Angle-Closure Glaucoma
swelling pain dry mouth bad taste,Wharton's duct stones
on conjunctiva of part white eye growth the the,Pterygium
excessive bleeding and bruising prolonged bleeding from wounds or after dental work or surgery spontaneous bleeding in joints or muscles since this morning,Hemophilia
wall small vaginal in intercourse or swelling discomfort the during lump pain or,Vaginal Cyst
vertigo dizziness nausea hearing loss ear pain,Labyrinthitis
worse at night lack of menstrual periods,Idiopathic Absence of Menstruation
